Z,A,Mass-Excess (MeV)
8,16,-4.07
8,17,-0.67
9,17,2.45
8,18,-1.38
9,18,0.14
10,18,4.99
8,19,2.65
9,19,-2.21
10,19,1.04
11,19,13.13
8,20,2.63
9,20,0.19
10,20,-6.39
11,20,7.27
12,20,16.93
8,21,8.14
9,21,-1.06
10,21,-5.08
11,21,-1.28
12,21,9.82
13,21,27.48
8,22,9.13
9,22,2.74
10,22,-7.85
11,22,-4.87
12,22,-0.09
13,22,18.39
14,22,32.9
8,23,15.49
9,23,2.82
10,23,-4.9
11,23,-8.97
12,23,-5.01
13,23,7.54
14,23,22.86
15,23,45.21
8,24,20.24
9,24,7.59
10,24,-6.37
11,24,-7.39
12,24,-13.47
13,24,1.03
14,24,10.58
15,24,33.29
16,24,55.03
8,25,28.82
9,25,11.59
10,25,-2.21
11,25,-9.87
12,25,-12.81
13,25,-8.37
14,25,3.05
15,25,20.28
16,25,42.32
17,25,70.44
8,26,35.65
9,26,18.39
10,26,0.02
11,26,-7.22
12,26,-16.5
13,26,-12.02
14,26,-7.43
15,26,11.01
16,26,27.61
17,26,55.65
8,27,45.71
9,27,24.52
10,27,6.29
11,27,-6.01
12,27,-14.74
13,27,-16.81
14,27,-12.19
15,27,-0.43
16,27,17.3
17,27,40.24
18,27,67.44
8,28,53.47
9,28,32.66
10,28,10.51
11,28,-1.35
12,28,-15.1
13,28,-16.48
14,28,-20.78
15,28,-6.78
16,28,4.38
17,28,28.08
18,28,50.18
8,29,63.83
9,29,39.8
10,29,18.18
11,29,1.97
12,29,-11.19
13,29,-18.06
14,29,-21.54
15,29,-16.48
16,29,-3.22
17,29,14.32
18,29,37.08
19,29,65.03
20,29,96.39
8,30,71.59
9,30,48.56
10,30,23.34
11,30,7.95
12,30,-9.51
13,30,-15.62
14,30,-24.52
15,30,-20.88
16,30,-14.21
17,30,5.08
18,30,21.73
19,30,50.0
20,30,76.52
8,31,81.69
9,31,56.24
10,31,32.05
11,31,12.36
12,31,-4.16
13,31,-14.98
14,31,-22.98
15,31,-24.78
16,31,-19.54
17,31,-6.87
18,31,11.41
19,31,33.89
20,31,60.69
22,31,127.96
8,32,89.15
9,32,64.75
10,32,38.05
11,32,19.6
12,32,-1.44
13,32,-11.13
14,32,-23.78
15,32,-24.23
16,32,-26.95
17,32,-13.33
18,32,-1.9
19,32,21.88
20,32,42.93
21,32,75.63
22,32,106.16
8,33,100.74
9,33,72.31
10,33,46.68
11,33,25.26
12,33,5.5
13,33,-9.27
14,33,-20.67
15,33,-25.9
16,33,-27.16
17,33,-21.52
18,33,-9.24
19,33,7.75
20,33,30.01
21,33,57.44
22,33,88.19
8,34,107.51
9,34,82.18
10,34,52.6
11,34,32.44
12,34,9.68
13,34,-3.68
14,34,-20.27
15,34,-23.92
16,34,-29.91
17,34,-25.24
18,34,-18.42
19,34,-0.88
20,34,14.47
21,34,42.97
22,34,68.52
9,35,90.24
10,35,61.78
11,35,38.2
12,35,16.73
13,35,-0.03
14,35,-15.14
15,35,-24.31
16,35,-28.64
17,35,-29.0
18,35,-23.16
19,35,-10.81
20,35,5.02
21,35,26.87
22,35,53.47
24,35,117.12
9,36,98.49
10,36,68.19
11,36,45.94
12,36,21.04
13,36,5.7
14,36,-12.81
15,36,-20.5
16,36,-30.22
17,36,-28.77
18,36,-30.28
19,36,-16.71
20,36,-6.03
21,36,15.94
22,36,36.08
23,36,67.31
24,36,95.71
9,37,106.31
10,37,77.71
11,37,52.34
12,37,28.78
13,37,9.67
14,37,-7.37
15,37,-18.97
16,37,-27.12
17,37,-31.25
18,37,-30.88
19,37,-24.66
20,37,-12.86
21,37,4.11
22,37,24.31
23,37,49.5
24,37,78.72
26,37,148.62
9,38,116.19
10,38,83.1
11,38,60.41
12,38,33.76
13,38,16.1
14,38,-4.69
15,38,-14.89
16,38,-26.91
17,38,-29.34
18,38,-34.44
19,38,-28.58
20,38,-21.81
21,38,-4.03
22,38,11.2
23,38,36.2
24,38,59.63
26,38,125.58
9,39,127.08
10,39,94.27
11,39,66.88
12,39,41.24
13,39,20.88
