N,Z,residual(keV)
8,8,412.99783000000025
9,8,681.23579
8,9,1001.701
10,8,2027.1836600000001
9,9,-636.888
8,10,2217.617
11,8,1182.8580000000002
10,9,702.5548799999999
9,10,882.0540000000001
8,11,1459.384
12,8,1606.172
11,9,-217.463
10,10,168.06782999999996
9,11,230.48899999999958
8,12,1917.6939999999995
13,8,-27.96600000000035
12,9,442.395
11,10,-441.77599999999984
10,11,-124.85699999999997
9,12,983.8510000000006
14,8,-636.9680000000008
13,9,-136.6239999999998
12,10,205.28399999999965
11,11,-1211.3909999999996
10,12,560.014
15,8,-2598.629000000001
14,9,-614.7370000000001
13,10,-284.0450000000001
12,11,-709.8535200000006
11,12,-503.6750000000002
10,13,178.0709999999999
16,8,-2979.5960000000014
15,9,-1525.4840000000004
14,10,768.3580000000002
13,11,-1107.9009999999998
12,12,-873.5779999999995
11,13,-418.812
10,14,1315.1859999999997
17,8,-3280.970000000001
16,9,-1555.8330000000005
15,10,-375.50299999999993
14,11,-597.8140000000003
13,12,-962.7819999999992
12,13,-815.9740000000002
11,14,877.3220000000001
18,8,-1528.9590000000026
17,9,-1335.3450000000012
16,10,701.114
15,11,-1020.7799999999997
14,12,5.455999999998312
13,13,-1200.1389999999992
12,14,68.9970000000003
18,9,-106.52200000000084
17,10,330.90999999999985
16,11,-547.7910000000002
15,12,-1586.5939999999991
14,13,-1386.8640000000014
13,14,-854.5049999999992
12,15,-889.032
19,9,343.7960000000021
18,10,1679.7379999999994
17,11,-428.31500000000005
16,12,-929.9459999999999
15,13,-1210.719000000001
14,14,-1812.7971099999995
13,15,-587.8559999999998
12,16,-196.79700000000003
20,9,940.1900000000023
19,10,869.8029999999999
18,11,999.9940000000001
17,12,-452.3600000000006
16,13,-1217.7619999999988
15,14,-2885.081539999999
14,15,-2462.8489999999983
13,16,-494.4229999999998
20,10,1410.119999999999
19,11,784.6700000000001
18,12,538.6270000000004
17,13,-1744.116
16,14,-1532.9619999999995
15,15,-1950.8559999999998
14,16,-899.2540000000008
13,17,-195.45200000000023
21,10,1121.594000000001
20,11,496.03100000000086
19,12,1017.848
18,13,79.29099999999926
17,14,-1659.0370000000003
16,15,-1380.5444199999984
15,16,-1722.530999999999
14,17,-984.5519999999997
21,11,200.15199999999822
20,12,1061.0990000000002
19,13,-249.3680000000004
18,14,-1127.6889999999985
17,15,-2044.8760000000002
16,16,-945.5371400000004
15,17,-1264.7060000000001
14,18,-290.35199999999986
22,11,290.1130000000012
21,12,242.8729999999996
20,13,742.6180000000004
19,14,-844.3280000000013
18,15,-1677.3499999999985
17,16,-1365.8582999999999
16,17,-1093.3400000000001
15,18,-904.2950000000001
23,11,780.1140000000014
22,12,213.32400000000143
21,13,982.3809999999999
20,14,-361.6840000000011
19,15,-1508.7020000000011
18,16,-1001.6889999999985
17,17,-1630.0859999999993
16,18,-468.2930000000015
23,12,409.78600000000006
22,13,886.27
21,14,518.5200000000004
20,15,-1337.809000000001
19,16,-866.2099999999991
18,17,-1043.5319999999992
17,18,-937.2890000000007
16,19,-162.89300000000003
24,12,820.1589999999997
23,13,1090.384
22,14,1103.875
21,15,18.955000000001746
20,16,-534.1409999999996
19,17,-1052.0080000000016
18,18,-661.5420000000013
17,19,-347.1820000000007
16,20,258.83399999999983
25,12,321.47799999999916
24,13,1039.5640000000003
23,14,668.4880000000003
22,15,53.98800000000119
21,16,353.5740000000005
20,17,-651.5519999999997
19,18,112.32099999999991
18,19,259.79899999999907
17,20,3.930000000000291
24,14,1019.701
23,15,78.43499999999949
22,16,738.7839999999997
21,17,51.883999999998196
20,18,425.1730000000025
