N,Z,residual(keV)
8,8,-370.9021699999994
9,8,206.0357899999999
8,9,147.1010000000001
10,8,672.48366
9,9,947.512
8,10,507.317
11,8,467.058
10,9,797.1548800000003
9,10,808.2540000000001
8,11,-162.3159999999989
12,8,529.5720000000001
11,9,-57.763000000000005
10,10,-417.43217000000004
9,11,-252.71100000000024
8,12,-440.60599999999977
13,8,264.33399999999983
12,9,617.795
11,10,-417.076
10,11,-474.35699999999997
9,12,188.4509999999991
14,8,388.03199999999924
13,9,336.3760000000002
12,10,-129.21600000000035
11,11,38.60900000000038
10,12,-245.58599999999998
15,8,7.6710000000002765
14,9,244.26299999999992
13,10,162.15499999999975
12,11,-639.0535199999995
11,12,-523.5749999999998
10,13,-378.9290000000001
16,8,426.2039999999979
15,9,39.51599999999962
14,10,231.7579999999998
13,11,-452.60099999999966
12,12,-727.0779999999995
11,13,-568.912
10,14,-591.8140000000003
17,8,-268.27000000000044
16,9,977.9670000000006
15,10,-10.702999999999975
14,11,392.6859999999997
13,12,-293.1819999999989
12,13,-296.47400000000016
11,14,126.72200000000021
18,8,-429.2589999999982
17,9,648.3549999999996
16,10,1128.214
15,11,226.22000000000025
14,12,163.7559999999994
13,13,612.5609999999997
12,14,104.89699999999993
18,9,849.9779999999992
17,10,940.9099999999999
16,11,955.2089999999998
15,12,-230.8939999999984
14,13,-37.3640000000014
13,14,165.29500000000007
12,15,-633.7320000000001
19,9,518.3960000000079
18,10,868.8379999999997
17,11,466.18499999999995
16,12,327.4539999999997
15,13,-183.3189999999995
14,14,-228.99711000000025
13,15,-230.85599999999977
12,16,-369.0970000000002
20,9,193.98999999999796
19,10,-124.19700000000012
18,11,826.4940000000001
17,12,444.5400000000009
16,13,363.63800000000265
15,14,-654.5815399999992
14,15,-668.248999999998
13,16,326.5770000000002
20,10,-316.47999999999956
19,11,121.06999999999971
18,12,615.9269999999997
17,13,-20.316000000000713
16,14,243.2380000000012
15,15,45.64400000000023
14,16,414.7459999999992
13,17,-564.652000000001
21,10,-780.7059999999983
20,11,-385.2689999999984
19,12,610.848
18,13,236.49099999999999
17,14,-280.33699999999953
16,15,-250.34441999999763
15,16,-81.33099999999831
14,17,-371.15199999999913
21,11,-837.948000000004
20,12,-85.20099999999991
19,13,90.53199999999924
18,14,-408.78899999999703
17,15,-687.2760000000017
16,16,633.3628600000011
15,17,-601.8059999999987
14,18,-718.7519999999997
22,11,-966.8869999999988
21,12,-657.2269999999999
20,13,719.1180000000004
19,14,-59.82800000000134
18,15,-842.1499999999978
17,16,-57.0583000000006
16,17,35.2599999999984
15,18,-861.8950000000004
23,11,-706.1859999999979
22,12,-1031.3759999999984
21,13,659.681
20,14,201.41600000000108
19,15,-810.8019999999997
18,16,-58.08899999999994
17,17,51.71400000000358
16,18,2.3070000000006985
23,12,-660.014000000001
22,13,-6.930000000000007
21,14,679.8200000000015
20,15,-653.1090000000004
19,16,-91.70999999999913
18,17,-388.03199999999924
