N,Z,residual(keV)
8,8,-1987.0021699999998
9,8,-2078.7642100000003
8,9,-2258.299
10,8,-1712.8163399999999
9,9,-1496.888
8,10,-2002.3829999999998
11,8,-1817.1419999999998
10,9,-2377.4451200000003
9,10,-2357.946
8,11,549.384
12,8,556.172
11,9,892.537
10,10,2098.06783
9,11,760.4889999999996
8,12,707.6939999999995
13,8,-1017.9660000000003
12,9,2802.395
11,10,538.2240000000002
10,11,405.14300000000003
9,12,2083.8510000000006
14,8,-96.96800000000076
13,9,983.3760000000002
12,10,265.28399999999965
11,11,-371.3909999999996
10,12,-209.986
15,8,-238.62900000000081
14,9,1815.263
13,10,-364.0450000000001
12,11,-549.8535200000006
11,12,-793.6750000000002
10,13,-1221.929
16,8,-629.5960000000014
15,9,2074.5159999999996
14,10,858.3580000000002
13,11,-897.9009999999998
12,12,346.4220000000005
11,13,-1238.812
10,14,-484.8140000000003
17,8,-2260.970000000001
16,9,2024.1669999999995
15,10,984.4970000000001
14,11,-197.8140000000003
13,12,-472.78199999999924
12,13,-915.9740000000002
11,14,-842.6779999999999
18,8,-178.95900000000256
17,9,1164.6549999999988
16,10,611.114
15,11,259.22000000000025
14,12,-334.54399999999987
13,13,-50.138999999999214
12,14,-761.0029999999997
18,9,2723.477999999999
17,10,600.9099999999999
16,11,-267.79100000000017
15,12,513.4060000000009
14,13,53.1359999999986
13,14,-64.5049999999992
12,15,-449.03200000000004
19,9,1153.796000000002
18,10,459.7379999999994
17,11,-458.31500000000005
16,12,690.0540000000001
15,13,29.28099999999904
14,14,-532.7971099999995
13,15,-17.855999999999767
12,16,-526.797
20,9,2770.1900000000023
19,10,-470.1970000000001
18,11,-140.00599999999986
17,12,-92.36000000000058
16,13,-617.7619999999988
15,14,274.9184600000008
14,15,-62.84899999999834
13,16,-834.4229999999998
20,10,1180.119999999999
19,11,-1125.33
18,12,488.6270000000004
17,13,-944.116
16,14,-522.9619999999995
15,15,1239.1440000000002
14,16,-789.2540000000008
13,17,-1615.4520000000002
21,10,-1448.4060000000027
20,11,-563.9689999999991
19,12,-682.152
18,13,-330.70900000000074
17,14,-1349.0370000000003
16,15,389.45558000000165
15,16,587.469000000001
14,17,-1424.5519999999997
21,11,-1819.8480000000018
20,12,-138.90099999999995
19,13,-729.3680000000004
18,14,-647.6889999999985
17,15,-634.8760000000002
16,16,884.4628599999996
15,17,-634.7060000000001
14,18,-720.3519999999999
22,11,-1289.8869999999988
21,12,-737.1270000000004
20,13,432.6180000000004
19,14,-1184.3280000000013
18,15,-487.34999999999854
17,16,-905.8582999999999
16,17,-803.3400000000001
15,18,-524.2950000000001
23,11,-1149.8859999999986
22,12,-976.6759999999995
21,13,372.38099999999986
20,14,248.3159999999989
19,15,-838.7020000000011
18,16,-551.6889999999985
17,17,-720.0859999999993
16,18,-418.2930000000015
23,12,-1580.214
22,13,646.27
21,14,-301.47999999999956
20,15,-177.8090000000011
19,16,-876.2099999999991
18,17,-743.5319999999992
17,18,-1097.2890000000007
16,19,-1312.893
24,12,-939.8410000000003
23,13,400.384
22,14,733.875
21,15,-131.04499999999825
20,16,-44.14099999999962
19,17,-742.0080000000016
18,18,578.4579999999987
17,19,-2477.1820000000007
16,20,-751.1660000000002
25,12,-1378.5220000000008
24,13,1279.5640000000003
23,14,-1.5119999999997162
22,15,913.9880000000012
21,16,-196.42599999999948
20,17,-1301.5519999999997
19,18,812.3209999999999
18,19,719.7989999999991
17,20,-1716.0699999999997
24,14,749.701
23,15,-161.5650000000005
22,16,558.7839999999997
21,17,-758.1160000000018
20,18,1045.1730000000025
19,19,-840.7599999999984
18,20,691.4969999999994
